Date,Open,High,Low,Close,Volume
2018/1/1 2:32,13650.04,13650.04,13621.49842,13622.86071,3.01811621
2018/1/1 2:33,13615.79719,13615.79719,13498,13500,8.85037165
2018/1/1 2:34,13500,13500,13486.45,13486.45,4.6633063
2018/1/1 2:35,13486.45,13486.45,13466.19138,13486.45,9.11305119
2018/1/1 2:36,13486.45,13486.45,13451,13451,5.52581074
2018/1/1 2:37,13451,13451,13441.08242,13450.54544,8.96227466
2018/1/1 2:38,13450.54544,13494.84675,13450.54544,13486.45,4.40593695
2018/1/1 2:39,13489.07909,13500,13489.07909,13500,1.99982165
2018/1/1 2:40,13500,13515.3,13447.7235,13450,7.87795839
2018/1/1 2:41,13448.75943,13450,13441,13441,5.41046995
2018/1/1 2:42,13441,13484,13419.54,13438.11544,23.97434282
2018/1/1 2:43,13440,13450,13390.92994,13400,10.77117521
2018/1/1 2:44,13400,13400,13394.81303,13400,0.67152547
2018/1/1 2:45,13400,13400,13400,13400,3.83032961
2018/1/1 2:46,13400,13438.11543,13394.81303,13438.11543,9.55401197
2018/1/1 2:47,13467,13467,13434.90192,13467,0.60361901
2018/1/1 2:48,13467,13467,13443.24914,13443.24914,0.85811269
2018/1/1 2:49,13444.90192,13467,13444.90192,13467,0.40411792
2018/1/1 2:50,13443.24914,13464.01,13411.65536,13443.24914,1.87306399
2018/1/1 2:51,13443.24914,13443.24914,13411.65536,13411.65536,7.74581649
2018/1/1 2:52,13411.65536,13443.24914,13406.22599,13443.24914,4.06079737
2018/1/1 2:53,13443.24914,13443.24914,13408.01004,13408.01004,0.65033919
2018/1/1 2:54,13443.24914,13443.24914,13400.59164,13409.05973,0.38960939
2018/1/1 2:55,13430.05973,13430.05973,13400.80211,13400.90211,0.8303483
2018/1/1 2:56,13430.05973,13440.05973,13400.90211,13408.157,1.09387895
2018/1/1 2:57,13440.05973,13440.05973,13415.87907,13431.21809,0.8991753
2018/1/1 2:58,13440.05973,13460.21828,13431.21809,13460.21828,1.70187386
2018/1/1 2:59,13460,13460,13443.24914,13450,2.20020205
2018/1/1 3:00,13455,13455,13450,13455,0.47972634
2018/1/1 3:01,13444.38419,13460.21828,13444.38419,13448.7718,12.63045314
2018/1/1 3:02,13460.21828,13489.00971,13450,13460.3,1.65531249
2018/1/1 3:03,13460.3,13491.01,13460.3,13491.01,0.2794929
2018/1/1 3:04,13484.26449,13492.62,13484.26449,13491.01,0.803034
2018/1/1 3:05,13494.10387,13500.01,13491.01,13500.01,0.65998001
2018/1/1 3:06,13500.01,13508.50533,13500.01,13508.50533,0.77789699
2018/1/1 3:07,13508.50533,13508.50533,13500,13508.50533,5.62656096
2018/1/1 3:08,13507.15448,13526.30464,13504.50428,13504.50428,2.85368533
2018/1/1 3:09,13518.64413,13518.64413,13504.50428,13518.64413,0.2306998
2018/1/1 3:10,13518.50423,13530.50423,13518.50423,13530.50423,0.721281
2018/1/1 3:11,13530.50423,13536.00872,13513.54543,13520.33561,3.0578304
2018/1/1 3:12,13520.33561,13555.86496,13520.33561,13536.00872,2.63405574
2018/1/1 3:13,13555.50423,13555.50423,13520.33561,13540.10423,0.56013182
2018/1/1 3:14,13540.10423,13571.01702,13518.50423,13518.50423,2.89572115
2018/1/1 3:15,13518.50423,13555,13518.50423,13519,0.27500993
2018/1/1 3:16,13519,13519,13519,13519,0.11827285
2018/1/1 3:17,13519,13588.18675,13519,13554.99,0.64930474
2018/1/1 3:18,13554.99,13585.03,13543.59412,13555.54544,0.53399362
2018/1/1 3:19,13581.39316,13581.39316,13558.66993,13558.66993,4.14060471
2018/1/1 3:20,13580,13580,13580,13580,0.01980787
2018/1/1 3:21,13571,13571,13555.54543,13571,0.3121931
2018/1/1 3:22,13571,13571,13558.54543,13558.54543,1.17251843
2018/1/1 3:23,13558.54544,13580,13558.54543,13580,0.88736143
2018/1/1 3:24,13580,13580,13554.52043,13554.52043,1.63926965
2018/1/1 3:25,13553.8034,13578.54543,13553.8034,13560,2.94316191
2018/1/1 3:26,13560,13560,13553.8034,13553.8034,2.22412337
2018/1/1 3:27,13553.56472,13553.56472,13529.60558,13529.60558,2.25159858
2018/1/1 3:28,13529.60558,13540,13518.50423,13519,1.48474944
2018/1/1 3:29,13517.38094,13519,13463.50532,13478.92815,7.05004638
2018/1/1 3:30,13464,13478.92815,13463.50532,13463.50532,2.35731113
2018/1/1 3:31,13478.92815,13478.92815,13451.21709,13478.92815,3.40718548
2018/1/1 3:32,13478.92815,13478.92815,13451.21709,13478.92815,6.08253915
2018/1/1 3:33,13478.92815,13478.92815,13464.71941,13478.92815,1.34419598
2018/1/1 3:34,13478.92815,13478.92815,13478.92815,13478.92815,2.25036605
2018/1/1 3:35,13478.92815,13515,13478.92815,13479.92816,2.28773319
2018/1/1 3:36,13504,13519,13483.52043,13487.87735,14.03148737
2018/1/1 3:37,13508.87735,13510,13508.87735,13510,0.57234283
